text,target
Что то случилось?,0
"Сейчас прибежит рваный клоун Микулка, и будет своими бесплатными стикерами самоутверждаться",1
В прочем какие-то рубежи Сони еще держит.,0
А потом окажется что это баг,0
Купить?,0
Как-то уже нет желания что-то брать связанное с этой конторкой...,0
"Ура, теперь иконки нормально отображаются",0
Ева в одно лицо жопу поменяла вектор политики многомилиардной компании,1
"Страны кои падки на эвент под названием Специальная операция , только не выкупаю что в этом списке делает Вьетнам",0
"Сейчас хомячки накинутся на корм, Сони соберет бабло и снова заблокирует всем доступ",0
А Цусиму забыли Так что Сони еще цепляется когтями из последних сил,0
Но не в России,0
"Наконец то до Sony дошло,уважаю.Теперь хотя бы норм в стиме можно будет новые релизы брать,без ключей.",0
"Дак конечно, это огромная куча бабла. Я думал после истории с Конкордом, до них раньше дойдёт, что надо чем то убытки перекрывать",0
"в чем ущерб на 850мил? Они специально под него ничего не делали. Просто смените модель, делов то.",0
"Да жизнь, интересная штука, бац и........",0
Да ничего они не получат. Его оклеветали. Подаст встречный иск.,0
Крысы.,1
"Шиш без масла им, а не компенсации. Сами же и огребут по полной.",1
Мало кто станет у них покупать!,0
А сколько прибыли они получили от его работы за 10 лет? И откуда такие цифры ущерба? Без приговора суда сами от него отказались,0
Мародёры. Вот оно сотрудничество. Даже ждать не стали. Только прогадают они. Его популярность не снижается.,1
Посмотрим с какими рожами они потом будут приносить свои извинения,0
"Не понимаю, за что ему такое!?",0
"Итог сей басни таков, короче Ким Су Хён был лицом этих компаний. С его участием бренды и их продукция продвигались на рынке с большим успехом. Отказавшись во время скандала от лица, видимо, попробовали ввести в дело новое. А оно не пошло. И денежка пошла на убыль. И, чтобы как-то компенсировать ущерб, нашли серого, на которого можно свалить вину и вытянуть всё,что потеряли. Шикарный вид,я вам скажу, граждане рекламщики! Надеюсь,что после всей этой заварушки Су Хён, погасив все долги а его обяжут, к сожалению не свяжется с теми двухвостками, которые его так подставили. А деньги...да что деньги! Талантливый человек восстановится и вернёт всё потерянное с лихвой!",0
"А потом будут извиняться на публику? Мы не думали,мы не знали.. надеюсь КСХ пошлет их",0
"Да, как просто в Южной Корее затравить и унизить очень известного актёра, прямо диву даюсь, и из-за чего, по сфабрикованному делу, что он такого сделал? Ну сумашкдшее общество!",1
"Мне актёр не симпатичен, но это моё мнение, но что удивляет, в России такой травли нет, то бухают и дебоширят как Кологривый, или людей сбивают и дальше снимаются, бабки гребут, а там без доказательств людей на право и на лево обвиняют, и все, ты никто",0
"Вспомнила дораму Доктора в кризисе. Успешного , талантливого доктора подставили, и также с помощью исков всё у него отобрали. Он восстановил репутацию, а деньги ему не вернули. Похоже и здесь так будет.",0
Это надо же так человека травить. Видимо пока не добьют не успокоятся. А потом опровержение напишут,0
Пусть КСХ выдержит это всё,0
"Да когда же они все успокоятся!?Не до конца добили парня,надо продолжить!?Что за люди!Совсем затравили парня!",1
"Я думала Корея успокоилась, но нет Продолжает позориться дальше и показывать всему миру своё бесчеловечное лицо Южане хуже своих северных братьев",0
"Всё правильно, Ким Сухен преступник. Вот пусть теперь у своего двоюродного брата деньги просит, который агенство содержит",0
"Господи, да когда же они уже все от него отстанут, задолбали парня.",1
Смерть этой мадам всем принесла проблему,0
"Вот это жизнь! Загнали мужика. Мало ли, что у двух людей случается, мало ли женщина захотела испортить жизнь кому-то. Сама не справилась, и другому не дала жить. Может надо сделать посмертную экспертизу даме, на наличие психического заболевания? Пусть к нам в Россию приезжает. Ему здесь точно хуже не будет.",0
"Долбанутые! 10 лет прибыль значит получали, а теперь что? Все мало- шоб они вообще разорились!",1
"Одну долгами в гроб свели, теперь за другого принялись. Сами гвоздики подают, а потом будут возмущены что молодые в петлю лезут.",0
"В итоге будет как с Джонни Деппом, которого во время судебных разбирательств не оставили только Savage",0
"Такую блестящую карьеру растоптать, зная корейское общество , на нем теперь навсегда клеймо к сожалению, ему оттуда надо валить как можно скорее",0
Вот так вот в Корее люди и кончают с собой. От давления,0
Дьявольского судью на них не хватает.,0
